Aircraft,Accepted,Width,Length,ETA,Roll_In,X,Y,ServT,ETD,Roll_Out,D_Arr,D_Dep,Penalty_Reject,Penalty_ArrivalDelay,Penalty_DepartureDelay,Hangar_Width,Hangar_Length,StartDate,Hangar_Space_Usage
a01,1,56.0,61.0,0.0,0.0,55.265,30.891,89.0,104.0,89.0,0.0,0.0,0.0,0.0,42.0,150,100,2026-01-01 00:00,0.3249102939184614
a02,1,37.0,39.0,0.0,0.0,6.708,51.457,131.0,144.0,131.0,0.0,0.0,0.0,0.0,6.0,150,100,2026-01-01 00:00,0.3249102939184614
a03,1,27.0,31.0,0.0,0.0,13.499,6.584,10.0,18.0,131.1,0.0,113.1,0.0,0.0,6.0,150,100,2026-01-01 00:00,0.3249102939184614
a04,1,27.0,27.0,205.0,215.1,52.0,5.0,233.0,448.0,448.1,10.1,0.1,675.0,14.0,18.0,150,100,2026-01-01 00:00,0.3249102939184614
a05,0,53.0,55.0,20.0,0.0,0.0,0.0,46.0,82.0,0.0,0.0,0.0,552.0,7.0,10.0,150,100,2026-01-01 00:00,0.3249102939184614
a06,0,34.0,32.0,32.0,0.0,0.0,0.0,237.0,277.0,0.0,0.0,0.0,443.0,4.0,5.0,150,100,2026-01-01 00:00,0.3249102939184614
a07,0,29.0,31.0,30.0,0.0,0.0,0.0,58.0,108.0,0.0,0.0,0.0,355.0,4.0,4.0,150,100,2026-01-01 00:00,0.3249102939184614
a08,1,30.0,30.0,273.0,273.0,52.0,37.0,14.0,298.0,287.0,0.0,0.0,316.0,6.0,3.0,150,100,2026-01-01 00:00,0.3249102939184614
a09,0,65.0,60.0,240.0,0.0,0.0,0.0,167.0,429.0,0.0,0.0,0.0,720.0,11.0,10.0,150,100,2026-01-01 00:00,0.3249102939184614
a10,1,60.0,73.0,195.0,195.2,85.0,5.0,24.0,240.0,219.2,0.2,0.0,1804.0,49.0,42.0,150,100,2026-01-01 00:00,0.3249102939184614
a11,1,43.0,42.0,180.0,180.0,78.0,50.0,15.0,211.0,195.0,0.0,0.0,964.0,25.0,27.0,150,100,2026-01-01 00:00,0.3249102939184614
a12,1,49.0,58.0,186.0,219.3,85.0,5.0,39.0,239.0,258.3,33.3,19.3,715.0,12.0,12.0,150,100,2026-01-01 00:00,0.3249102939184614
a13,1,50.0,66.0,268.0,268.0,93.0,5.0,61.0,346.0,329.0,0.0,0.0,953.0,8.0,14.0,150,100,2026-01-01 00:00,0.3249102939184614
a14,0,66.0,67.0,140.0,0.0,0.0,0.0,169.0,328.0,0.0,0.0,0.0,826.0,13.0,12.0,150,100,2026-01-01 00:00,0.3249102939184614
a15,0,75.0,70.0,35.0,0.0,0.0,0.0,12.0,61.0,0.0,0.0,0.0,811.0,10.0,11.0,150,100,2026-01-01 00:00,0.3249102939184614
a16,1,25.0,23.0,209.0,215.2,5.0,5.0,277.0,504.0,492.2,6.2,0.0,599.0,12.0,17.0,150,100,2026-01-01 00:00,0.3249102939184614
a17,0,65.0,68.0,10.0,0.0,0.0,0.0,18.0,44.0,0.0,0.0,0.0,688.0,11.0,10.0,150,100,2026-01-01 00:00,0.3249102939184614
a18,1,36.0,37.0,297.0,297.0,52.0,37.0,53.0,361.0,350.0,0.0,0.0,552.0,8.0,7.0,150,100,2026-01-01 00:00,0.3249102939184614
a19,1,21.0,23.0,209.0,219.4,85.0,68.0,27.0,251.0,246.4,10.4,0.0,271.0,3.0,3.0,150,100,2026-01-01 00:00,0.3249102939184614
a20,1,18.0,22.0,207.0,215.4,52.0,37.0,49.0,276.0,267.9,8.4,0.0,346.0,3.0,4.0,150,100,2026-01-01 00:00,0.3249102939184614
a21,1,43.0,40.0,124.0,124.0,79.7079999999808,5.0,67.0,200.0,195.1,0.0,0.0,570.0,7.0,6.0,150,100,2026-01-01 00:00,0.3249102939184614
a22,1,55.0,52.0,90.0,90.0,48.708,34.0,11.0,117.0,117.0,0.0,0.0,745.0,10.0,7.0,150,100,2026-01-01 00:00,0.3249102939184614
a23,1,42.0,49.0,180.0,215.3,5.0,33.0,239.0,433.0,454.3,35.3,21.3,598.0,7.0,11.0,150,100,2026-01-01 00:00,0.3249102939184614
a24,0,60.0,61.0,39.0,0.0,0.0,0.0,28.0,80.0,0.0,0.0,0.0,884.0,10.0,8.0,150,100,2026-01-01 00:00,0.3249102939184614
a25,1,26.0,24.0,84.0,89.1,48.70799999999686,5.0,58.0,151.0,147.1,5.1,0.0,290.0,4.0,5.0,150,100,2026-01-01 00:00,0.3249102939184614
a26,1,28.0,29.0,199.0,215.5,52.0,64.0,12.0,229.0,227.5,16.5,0.0,332.0,5.0,4.0,150,100,2026-01-01 00:00,0.3249102939184614
a27,1,68.0,76.0,189.0,189.0,5.0,5.0,26.0,232.0,215.0,0.0,0.0,1122.0,18.0,17.0,150,100,2026-01-01 00:00,0.3249102939184614
a28,1,24.0,30.0,323.0,329.1,93.0,5.0,47.0,378.0,376.1,6.1,0.0,289.0,4.0,4.0,150,100,2026-01-01 00:00,0.3249102939184614
