Aircraft,Accepted,Width,Length,ETA,Roll_In,X,Y,ServT,ETD,Roll_Out,D_Arr,D_Dep,Penalty_Reject,Penalty_ArrivalDelay,Penalty_DepartureDelay,Hangar_Width,Hangar_Length,StartDate
a01,1,56.0,61.0,0.0,0.0,55.265,30.891,89.0,104.0,89.0,0.0,0.0,0.0,0.0,42.0,150,100,2026-01-01 00:00
a02,1,37.0,39.0,0.0,0.0,6.708,51.457,131.0,144.0,131.0,0.0,0.0,0.0,0.0,6.0,150,100,2026-01-01 00:00
a03,1,27.0,31.0,0.0,0.0,13.499,6.584,10.0,18.0,131.1,0.0,113.1,0.0,0.0,6.0,150,100,2026-01-01 00:00
a04,1,27.0,27.0,205.0,205.0,35.0,5.0,233.0,448.0,438.0,0.0,0.0,6.75,14.0,18.0,150,100,2026-01-01 00:00
a05,0,53.0,55.0,20.0,0.0,0.0,0.0,46.0,82.0,0.0,0.0,0.0,5.5200000000000005,7.0,10.0,150,100,2026-01-01 00:00
a06,0,34.0,32.0,32.0,0.0,0.0,0.0,237.0,277.0,0.0,0.0,0.0,4.43,4.0,5.0,150,100,2026-01-01 00:00
a07,0,29.0,31.0,30.0,0.0,0.0,0.0,58.0,108.0,0.0,0.0,0.0,3.5500000000000003,4.0,4.0,150,100,2026-01-01 00:00
a08,1,30.0,30.0,273.0,273.0,5.0,37.0,14.0,298.0,287.0,0.0,0.0,3.16,6.0,3.0,150,100,2026-01-01 00:00
a09,0,65.0,60.0,240.0,0.0,0.0,0.0,167.0,429.0,0.0,0.0,0.0,7.2,11.0,10.0,150,100,2026-01-01 00:00
a10,1,60.0,73.0,195.0,195.0,67.0,5.0,24.0,240.0,240.0,0.0,0.0,18.04,49.0,42.0,150,100,2026-01-01 00:00
a11,1,43.0,42.0,180.0,180.0,5.0,5.0,15.0,211.0,195.1,0.0,0.0,9.64,25.0,27.0,150,100,2026-01-01 00:00
a12,0,49.0,58.0,186.0,0.0,0.0,0.0,39.0,239.0,0.0,0.0,0.0,7.15,12.0,12.0,150,100,2026-01-01 00:00
a13,1,50.0,66.0,268.0,268.0,75.0,5.0,61.0,346.0,329.0,0.0,0.0,9.53,8.0,14.0,150,100,2026-01-01 00:00
a14,0,66.0,67.0,140.0,0.0,0.0,0.0,169.0,328.0,0.0,0.0,0.0,8.26,13.0,12.0,150,100,2026-01-01 00:00
a15,0,75.0,70.0,35.0,0.0,0.0,0.0,12.0,61.0,0.0,0.0,0.0,8.11,10.0,11.0,150,100,2026-01-01 00:00
a16,1,25.0,23.0,209.0,209.0,5.0,5.0,277.0,504.0,501.31260962145865,0.0,0.0,5.99,12.0,17.0,150,100,2026-01-01 00:00
a17,0,65.0,68.0,10.0,0.0,0.0,0.0,18.0,44.0,0.0,0.0,0.0,6.88,11.0,10.0,150,100,2026-01-01 00:00
a18,1,36.0,37.0,297.0,297.0,34.0,37.0,53.0,361.0,361.0,0.0,0.0,5.5200000000000005,8.0,7.0,150,100,2026-01-01 00:00
a19,1,21.0,23.0,209.0,209.1,5.0,33.0,27.0,251.0,240.1,0.1,0.0,2.71,3.0,3.0,150,100,2026-01-01 00:00
a20,1,18.0,22.0,207.0,207.0,35.0,37.0,49.0,276.0,272.9,0.0,0.0,3.46,3.0,4.0,150,100,2026-01-01 00:00
a21,1,43.0,40.0,124.0,124.0,53.0,5.0,67.0,200.0,191.0,0.0,0.0,5.7,7.0,6.0,150,100,2026-01-01 00:00
a22,1,55.0,52.0,90.0,90.0,48.708,5.0,11.0,117.0,101.0,0.0,0.0,7.45,10.0,7.0,150,100,2026-01-01 00:00
a23,0,42.0,49.0,180.0,0.0,0.0,0.0,239.0,433.0,0.0,0.0,0.0,5.98,7.0,11.0,150,100,2026-01-01 00:00
a24,0,60.0,61.0,39.0,0.0,0.0,0.0,28.0,80.0,0.0,0.0,0.0,8.84,10.0,8.0,150,100,2026-01-01 00:00
a25,1,26.0,24.0,84.0,84.0,116.265,5.0,58.0,151.0,151.0,0.0,0.0,2.9,4.0,5.0,150,100,2026-01-01 00:00
a26,0,28.0,29.0,199.0,0.0,0.0,0.0,12.0,229.0,0.0,0.0,0.0,3.3200000000000003,5.0,4.0,150,100,2026-01-01 00:00
a27,0,68.0,76.0,189.0,0.0,0.0,0.0,26.0,232.0,0.0,0.0,0.0,11.22,18.0,17.0,150,100,2026-01-01 00:00
a28,1,24.0,30.0,323.0,323.0,5.0,33.0,47.0,378.0,378.0,0.0,0.0,2.89,4.0,4.0,150,100,2026-01-01 00:00
